gene_name,logFC,adj.P.Val
Gnas,1.8,6.09e-6
Ctsz,1.4,6.91e-5
Ctsl,1.4,7.88e-5
Tlr2,2,2.25e-4
Tyrobp,1.5,3.24e-4
Lgals3bp,2.2,3.71e-4
Hif1a,2.1,3.71e-4
Lrpap1,1.6,3.8e-4
Timp2,1.1,6.65e-4
Zfand5,-1.5,6.65e-4
Serpine2,1.4,6.65e-4
Ctsb,1.5,6.65e-4
Cd9,1.2,7.97e-4
Clec7a,7.3,6.29e-4
H2-D1,1.5,0.00106
Trem2,0.89,0.00127
Syngr1,1.6,0.00195
Tpd52,1.3,0.00232
Anxa5,2.3,0.00232
Cd68,1.5,0.00232
Hes1,-2.5,0.00275
P2rx4,1.4,0.00345
Hexa,1.1,0.00335
Cd63,1.8,0.00442
Txnip,-1.2,0.00421
Ndufa1,2,0.00603
B2m,0.79,0.00442
Tpi1,1.5,0.00764
Shisa5,1.3,0.00746
Aplp2,1.7,0.00874
Apoe,4.6,0.0078
Ccl6,2.2,0.0103
Ank,4.1,0.00442
Hsp90aa1,-1.6,0.0109
Capg,2.9,0.00874
Cox6a1,1.3,0.0114
Ldha,1.2,0.0132
Rock2,-1.3,0.0147
Pld3,1.4,0.0151
Pkm,1.3,0.0162
Cd52,2.3,0.0176
Sdf2l1,1.2,0.0162
Ctsa,0.87,0.0147
Tmem160,1.6,0.0229
Gusb,1.2,0.0225
Creg1,0.79,0.0256
Mt1,1.4,0.0328
Ctsd,1.3,0.0228
Tmem189,1.4,0.0376
Tpm4,2,0.0379
Klf6,-1.3,0.0334
Npc2,0.99,0.0376
Uqcrh,1.3,0.0483
AC092855.1,1.4,0.049
Ppp1r10,-2.1,0.0483
Smim3,1.6,0.0515
Fam46a,-1.7,0.0517
Cpq,2.6,0.0483
Pea15a,1.1,0.0486
Mif,1.9,0.0522
Myc,-1.5,0.0547
Aagab,-1.4,0.0554
Syk,-2.3,0.0562
Lat2,1.2,0.0522
Hspa1a,-3.9,0.0562
Ssr4,1.1,0.0517
Cadm1,1.1,0.0549
Cox6a2,7.2,0.0328
H2-K1,1.1,0.0517
Picalm,-1.9,0.0599
H2-M3,1.3,0.0599
Cox8a,1.1,0.0584
Dtnbp1,1.1,0.0631
Dpagt1,2,0.0631
Bmp2k,-1.1,0.0601
Hpgd,-1.1,0.0584
Plaur,1.9,0.0713
Psmb6,1,0.0631
Dpp7,1.7,0.0758
Sdf4,0.93,0.066
Kxd1,2.2,0.0758
Alyref2,-2.5,0.0758
Tubb2a,-2.2,0.077
Atp1b3,0.93,0.0713
Glmp,1,0.0766
Fam49b,-0.73,0.0713
Tmem256,1.2,0.0803
Rftn1,4.6,0.0464
Ifi27,1.1,0.0836
Slc2a1,2.1,0.092
Irf2bpl,-2,0.0926
Rpl26,1.1,0.0894
Uqcr10,1,0.0868
Lrp1,-1.8,0.0947
Tsc22d1,2.4,0.092
Vps28,0.92,0.0849
Prdx6,1.7,0.0967
Ubb,-0.75,0.0735
Nckap1l,-0.95,0.0894
Mis12,-2.1,0.1
Terf2ip,-2.2,0.101
Ramp1,2.4,0.102
Msmo1,2,0.102
Grn,0.71,0.0766
Pilra,2.1,0.103
Ppp1r15a,-1.2,0.0866
Atpif1,0.97,0.092
Gemin7,1.9,0.105
Rpl41,1,0.0973
Chd1,-1.4,0.103
Lactb,-1.2,0.102
Nceh1,2.6,0.101
Fau,0.87,0.101
Ptpn6,0.75,0.0958
Brd2,-1.2,0.105
Inpp5d,-0.93,0.0973
St8sia6,6.6,0.0335
Atf3,-1,0.0866
Frmd4a,-1,0.101
Jund,-1.1,0.0973
Rpl14,1.1,0.105
Timm8b,1.5,0.113
Mfsd14a,1.4,0.119
Tiprl,-1.2,0.118
Nuak1,-2.1,0.124
Nbl1,5.9,0.0402
Fkbp1a,0.96,0.109
Hspa1b,-4.5,0.109
Slc25a37,-2.5,0.107
Zfp36l2,-1.3,0.126
Pofut1,-5.8,0.0272
Agpat2,1.5,0.13
Apobec1,1.3,0.126
Nptn,0.86,0.112
Bckdk,1.3,0.126
Gng12,1.2,0.126
Bsg,0.7,0.106
Irf2bp2,-1.8,0.13
Atp6v0e,0.85,0.105
Kdm4c,-2.4,0.126
Arl11,2,0.137
Dnajc19,1.1,0.13
Adssl1,2.7,0.132
Fth1,0.95,0.0947
Itm2b,0.48,0.0864
Tsc22d2,-2,0.141
Maf,-1.1,0.126
Nenf,2,0.141
Zfhx3,-1.4,0.132
Rpl13,0.72,0.116
Ifrd1,-1.4,0.137
Yif1b,1.2,0.141
Psat1,2.8,0.137
Tmem9,1.9,0.151
Cdh23,-4.2,0.0766
Lpl,11,0.0947
Rhob,-1.4,0.141
Cd1d1,-1.8,0.157
Rpsa,1.4,0.15
Kdsr,-2.9,0.132
Ifi27l2a,4.9,0.164
Phf5a,1.6,0.164
Prdx4,1.7,0.162
Nosip,1.2,0.157
Map1s,-1.5,0.162
Arhgap22,-1.3,0.158
Phf11b,1.9,0.164
Rps18,0.93,0.15
Dock4,-1.2,0.155
Fcer1g,0.55,0.105
Cst7,7.8,0.162
Irs2,-3,0.135
Eef2k,-1.3,0.164
Rchy1,-1.4,0.169
Wasf2,-1.2,0.15
Tmed3,1,0.151
Clstn1,-2,0.174
RP23-37J21.3,1.5,0.173
Gpr65,3,0.174
Klf2,-2,0.138
Akr1a1,0.71,0.14
Plrg1,-1.4,0.178
Zfp740,-1.8,0.18
Cybb,6.5,0.105
Lamp1,0.62,0.128
Uqcrq,1,0.156
Kcnk6,-1.5,0.178
Mylip,-1.1,0.157
Dapp1,-0.84,0.157
Rps16,1.1,0.178
Stat1,1.8,0.185
Rpl19,0.92,0.173
Rnf7,0.99,0.169
Btg1,-0.71,0.151
Gng5,0.92,0.164
Crybb1,-1,0.165
Cox6c,1.2,0.178
Nucb2,1.6,0.187
Wipf1,-1.6,0.187
Echs1,1.3,0.18
Snrnp200,-2.2,0.185
RP24-344N22.4,-2.5,0.18
Elmo1,-0.73,0.154
Rassf2,-1.8,0.192
Tomm7,1.3,0.185
G6pc3,1.4,0.196
Nsd1,-1.4,0.195
Cope,0.8,0.165
Snhg1,2.3,0.187
Stard9,-1.6,0.201
Trim36,-2.1,0.201
Cbx4,-1.5,0.201
Lyz2,2.3,0.154
Malat1,-0.62,0.105
Srprb,1.2,0.195
Atp6v1a,1.4,0.196
Rpl36,1,0.184
Casc3,-1.5,0.205
Cd63-ps,1.8,0.205
Bach2,-3.9,0.157
Glipr1,2.3,0.211
Dkc1,1.6,0.208
Hyal1,-2.4,0.201
Fam162a,1.6,0.208
Arfrp1,-1.2,0.205
Ubap2l,-1,0.195
RP24-88B13.3,-2.8,0.189
Nhsl2,-5.2,0.0803
Rps19,0.96,0.185
Ptger4,7,0.0713
Nt5dc1,-2.2,0.206
Klhdc8b,-1.6,0.208
Zfp36,-0.62,0.135
Dock10,-1.1,0.201
Atp5j2,0.97,0.189
Ddx3x,-1.2,0.196
Rcsd1,-0.85,0.191
Stk4,-1.4,0.222
Nup133,-2.3,0.215
Fgfr1op,1.5,0.218
Hacd2,1.1,0.206
Heca,-1.9,0.227
H2afj,1.2,0.218
Emc7,0.93,0.205
Tmem106a,1.6,0.225
RP24-365N15.5,-5.3,0.113
Zfp710,-1.9,0.229
RP23-310J6.1,3.7,0.23
Atp6v1c1,0.76,0.187
Mthfsl,1.7,0.23
St3gal6,-0.71,0.181
Rbms1,1.8,0.23
Zfp292,-1.5,0.227
Brd4,-0.95,0.208
Mrps17,1.2,0.218
Fcgr2b,0.63,0.178
Wsb1,-0.66,0.185
Aar2,2.5,0.227
Klhl18,-2.6,0.205
Cebpz,-0.91,0.218
Rhoc,1.8,0.24
Sec23a,-1.6,0.241
Pdcd1,9.3,0.0472
Mta3,4.3,0.126
Axl,8.9,0.119
Rapgef6,-1.8,0.24
Dph5,1.6,0.242
Gpr108,0.94,0.222
Csf2ra,1.4,0.242
Bmpr2,-1.9,0.245
Dennd4a,-1.3,0.223
Cyp51,3.1,0.208
Slc36a1,-3,0.227
Cyb5r3,1.2,0.227
Chuk,-1,0.227
Mtpap,1.7,0.246
Aldoa,0.98,0.195
Bach1,-1.9,0.246
Gba,0.85,0.217
Tob2,-1.1,0.232
Eif1a,1.3,0.245
Fam160a2,-2.5,0.234
Plpp1,1,0.229
S100a1,1.9,0.255
Fam110a,-1,0.24
Spata2,-6.4,0.0713
Arhgef40,-1.9,0.255
Nubp2,1.4,0.246
Toe1,2.5,0.246
Ppm1l,-3,0.246
Msl1,-1.8,0.256
Plin2,1.4,0.247
Nudt14,1.9,0.258
Son,-0.61,0.185
Tanc2,-1.5,0.237
Sulf2,3.3,0.205
Mmp2,2.3,0.256
Stau1,-0.98,0.245
Kdelr2,1.3,0.255
RP23-19I2.7,-5.2,0.178
Irf1,-1.1,0.23
Rspry1,1.6,0.268
Itpripl1,-2.3,0.261
Dr1,2.1,0.257
Ccdc90b,-1.1,0.257
Arrdc4,1.5,0.266
Psmf1,-1.2,0.26
Ccdc93,-1.5,0.268
Rpn2,0.67,0.218
St7l,1.5,0.266
Mpp1,1.6,0.271
Acap2,-1.1,0.247
Dleu2,-1.1,0.255
Igf1,7.9,0.105
Ppp6r3,-1.2,0.268
Rps5,0.89,0.243
Smpd2,1.5,0.27
Siglecf,1.9,0.275
Tgfa,-1.4,0.268
Nsun2,1.3,0.268
Crlf3,-0.77,0.237
Il6ra,-1.2,0.252
Arhgap24,3.6,0.195
Jmjd1c,-1.1,0.245
Slc11a1,0.75,0.232
Akap13,-0.93,0.246
H2-T23,0.84,0.242
Zfp866,-3.2,0.243
Fubp1,-1,0.256
P2rx7,1.1,0.261
Itgav,-1.6,0.269
Gltp,0.73,0.232
Fbxw9,3.6,0.224
Edf1,0.86,0.246
Bri3bp,2.4,0.265
Actr8,1.4,0.276
Plekhb2,1.2,0.269
Sall1,-1.3,0.248
Aff4,-1.7,0.284
Recql,-1.7,0.292
Tm6sf1,-0.83,0.247
Ddx1,1.1,0.276
Tardbp,-1.2,0.279
Rpl12,1.1,0.284
Ep300,-2,0.294
Ski,-1.6,0.284
Ftx,-4,0.208
Pdlim5,-1.9,0.293
Klhl9,-1.4,0.292
Atp5a1,0.63,0.234
Coq10a,2.1,0.292
Npm1,0.94,0.268
Trp53bp2,-2.6,0.292
Tirap,2.2,0.292
Snx27,-2.6,0.293
Pfdn1,1.3,0.293
Babam1,2.1,0.296
Metrnl,1.9,0.297
Cpt2,2.8,0.284
Hmgn3,2.6,0.296
Cast,-1.5,0.297
Nfil3,3.6,0.263
Wdr37,-1.4,0.296
Myo1e,2.8,0.279
Gmeb1,-3.1,0.277
Dffb,-5.3,0.222
Cmklr1,-3.5,0.265
Ubr3,-2,0.297
Ssna1,0.87,0.269
Ier5,-0.69,0.224
Hrsp12,2.4,0.302
Sh3bgrl3,0.63,0.229
Cstb,0.74,0.256
Mrm3,4.3,0.205
Trib1,-1.2,0.293
Sptan1,-3,0.279
Etv3,-1.5,0.303
Lcorl,-1.4,0.303
Slc25a36,1.8,0.305
Nrros,0.69,0.249
Fhit,-3.3,0.27
Slc16a3,3.2,0.246
B4galt3,-1,0.293
Fam120b,1.9,0.308
Foxn3,-0.8,0.268
RP23-35H8.2,-1.7,0.313
Prdx5,0.63,0.249
Coil,-1.9,0.308
Fam20c,15,0.0283
Crat,-1.2,0.301
Socs1,-1.8,0.316
Fabp5,12,0.0823
Slamf8,2.4,0.315
Baiap2,9,0.0469
Uba1,-1,0.297
Cd34,1,0.266
Prex1,-1.1,0.29
RP23-123N23.5,1.1,0.293
Bnip3l,0.84,0.294
Slc35f6,1.2,0.308
Chsy1,-1.8,0.319
Tpp2,-0.94,0.297
Tmem87a,-3.5,0.279
Il4i1,3.8,0.269
RP23-44D14.1,-4.1,0.279
Ebpl,1.5,0.317
Pmvk,4.4,0.222
Tmem218,4,0.294
Rmdn3,1.6,0.324
Eif4a2,-1.1,0.308
Cep95,-3.2,0.291
Ptpra,0.64,0.267
Rere,-2.1,0.326
Zbtb18,-1.5,0.322
Lrch1,-1,0.307
Haus8,3,0.296
Slc25a39,0.99,0.301
Ggh,1,0.296
Rnf19b,-1.1,0.305
Htatip2,4.5,0.255
Commd9,1.3,0.308
Crcp,-1.7,0.329
RP23-147I23.2,2.1,0.33
Foxo1,-1.8,0.329
Txn2,0.92,0.305
Mfsd11,1,0.303
Tgfbr1,-0.61,0.242
Prkce,-3.2,0.276
Jpt2,1.6,0.33
Slc31a1,1.1,0.308
Ptrhd1,1.5,0.328
Acvr2a,-3.5,0.269
Pqlc3,7.7,0.139
Clasrp,-1.7,0.335
Taf6,1.5,0.327
Camk2g,-3.1,0.295
Bcl10,-0.92,0.292
Ddx41,1.5,0.33
Zfp354b,-5.9,0.195
Skil,-0.9,0.288
Lrrc16a,-2.5,0.327
Abca1,-2.1,0.313
Pink1,0.88,0.304
Aprt,1.3,0.324
Cox4i1,0.73,0.266
RP23-241N10.2,-3.7,0.296
Fuca1,0.75,0.278
Purb,-1.6,0.335
Ndufa13,0.73,0.284
Ugdh,-1.4,0.335
Arhgap29,-5,0.23
Btbd2,-1.2,0.335
Mcl1,-0.9,0.268
Lpgat1,-1.3,0.344
Amdhd2,1.3,0.336
Alas1,0.87,0.303
Atxn3,2.3,0.329
Aacs,4.8,0.247
Hsp90ab1,-0.67,0.258
Atp6v1b2,0.81,0.303
Prmt5,-1.5,0.344
3110082I17Rik,2,0.347
Osbpl11,-1,0.315
Bco2,-1.2,0.329
Serpinb9,2.3,0.35
Pon2,0.87,0.305
Baz2a,-2.4,0.335
Vps9d1,-1.3,0.346
Ost4,0.82,0.303
Fzd4,-2.9,0.33
Fgl2,2.6,0.344
Tbck,-2,0.353
Ociad1,0.9,0.305
Kdm1b,-1.7,0.356
Klf4,-2.6,0.353
Elob,0.8,0.297
Socs3,-0.91,0.301
Kras,-0.89,0.313
Maml3,-1.7,0.36
CH36-200G6.4,-1,0.329
Gbas,1.7,0.362
Dock2,-0.97,0.304
Gpr155,-0.89,0.324
Pgk1,1.6,0.363
Cox6b1,0.81,0.288
Mipep,4.1,0.292
Mocs2,-1.3,0.344
Zswim4,-2.5,0.344
Cerk,-1.1,0.329
Acot13,0.98,0.317
Ttc1,0.92,0.317
Rpl10,0.69,0.303
Tacc1,-0.74,0.308
Tmem100,-0.7,0.304
Luc7l3,1.3,0.346
Zfp511,1.9,0.372
Ranbp10,-2,0.372
Zfp59,-6.6,0.141
Tjp1,-1.2,0.347
Slc39a6,1.6,0.372
Psmb8,0.65,0.285
Kiss1r,-9.8,0.0846
Mblac1,-6.4,0.246
Lyzl4,3.5,0.302
Vps13a,2,0.372
Mfsd1,0.71,0.304
Sik3,-3.4,0.329
Rufy2,-3.4,0.327
Dnajb4,-1.1,0.329
Mkln1,-0.84,0.322
Crlf2,2,0.375
Abhd12,0.49,0.268
Pcyt2,1.5,0.375
Gapdh,0.83,0.335
Kdm6b,-3.7,0.303
Ice1,-1.6,0.375
Fam129b,5.6,0.218
Yy1,-1.9,0.378
Ppip5k2,-1.6,0.375
Rpl37a,0.86,0.317
Dars,-0.86,0.335
Vav2,-1.7,0.375
Hnrnpl,-1,0.339
Bloc1s5,1.5,0.375
Eno1,0.86,0.304
Zfp644,-1.1,0.353
Tbce,-1.2,0.372
Atox1,0.67,0.297
Zdhhc17,2.4,0.375
Tfe3,-1,0.332
Rnf219,-1.8,0.386
Ermard,-1.4,0.383
RP23-201I4.11,-7.4,0.178
Ssb,-0.73,0.316
Osgin2,-1.7,0.386
Bbs4,4.6,0.275
Spen,-1.8,0.386
Smpdl3b,-2.2,0.383
Mef2a,-0.87,0.297
Acat2,2.3,0.386
Nfyb,-1.4,0.382
Tlr1,1.4,0.376
Mydgf,0.79,0.328
Plcl2,-0.77,0.329
Fam173a,0.88,0.34
Trim34a,1.9,0.388
Mettl13,-4.6,0.285
Hn1,0.67,0.317
Tmem154,-5.4,0.266
Mri1,2.5,0.372
Ddx17,-1.7,0.378
Prep,2.2,0.388
Slamf9,0.92,0.329
Zkscan1,-2,0.389
Thap4,2.4,0.383
Larp4,-1.2,0.378
Prune,-4.3,0.275
Oas1a,3.3,0.335
Actr2,-0.92,0.341
Pan2,-3.6,0.329
Pdgfb,-1.5,0.388
Fundc2,4.3,0.303
Eif3g,0.74,0.324
Ifi207,7.2,0.255
Dnase1l1,5.8,0.265
arsb,-0.76,0.327
Soga1,-1.9,0.389
Fbxw5,1.3,0.383
Dis3l2,-2.3,0.386
Rabl6,-1.3,0.389
Rabggta,1.3,0.39
Arid3a,-3.4,0.372
Lrrc42,-8.1,0.143
Rap1gap2,-5,0.292
Pik3c2a,-1.9,0.397
Pxdc1,-2.8,0.383
Tspan17,9.7,0.092
Blvra,0.88,0.37
Apbb2,2.1,0.397
RP24-155C13.1,4.5,0.303
Fam199x,-3.4,0.388
Paics,0.88,0.353
Errfi1,-1.2,0.386
Dus3l,-1.1,0.385
Sertad2,-1.6,0.389
H2-Q6,3,0.382
Cptp,-2.3,0.392
Gimap6,-1,0.375
Slfn2,1.3,0.375
D3Ertd751e,-1.5,0.397
Ndufv3,0.85,0.342
Dtx3l,-1.5,0.397
Elk3,0.78,0.353
Pms1,-2.6,0.386
Tmem248,1,0.381
Gxylt1,-1.3,0.388
Mapk6,-2,0.39
Ercc6l2,-3.9,0.338
Ndufb10,0.69,0.324
Slc31a2,1,0.382
Thoc3,-1.1,0.389
Ccdc112,-3.2,0.377
Polr2g,0.97,0.344
Sp100,1.7,0.405
Banf1,0.78,0.347
Nol12,1.5,0.403
Ubr4,-2.6,0.399
Rpgrip1l,-4.4,0.327
Camta2,-1.6,0.405
Sfxn1,1.3,0.395
Slc39a10,-1.4,0.397
Mettl22,4,0.297
Rbbp4,-0.73,0.344
Erap1,1.5,0.397
Repin1,5.2,0.277
Fam63b,-0.92,0.347
RP23-459L15.7,-1.9,0.407
Zfp429,-2.8,0.403
Ranbp3,0.97,0.382
Taf1c,8.5,0.136
N6amt1,3,0.39
Anapc13,0.8,0.349
Ctss,0.38,0.237
Pkn2,-0.88,0.378
Atg14,-1.1,0.389
Csnk1e,-0.74,0.327
Scrn2,-4.1,0.332
Ccdc127,-0.91,0.388
Tldc1,-3.6,0.375
Stx18,-1.2,0.397
RP23-147O14.2,-2.9,0.386
Sp1,-2.1,0.414
Pde4b,-1.1,0.378
Nom1,1.7,0.413
Pqbp1,-0.74,0.36
Smc3,-0.84,0.378
Pdk1,-0.93,0.377
Hemk1,-2.9,0.393
Elovl1,0.72,0.343
Nsdhl,1.8,0.415
Hcst,1.4,0.403
Tlk1,1.8,0.416
Man2c1,1.3,0.399
Zcchc6,-0.98,0.386
Zdhhc6,1.1,0.396
Il10ra,-0.78,0.326
Sdccag8,-1.2,0.394
Polr1c,1.4,0.414
Arl4d,-4.5,0.386
Kdm6a,-1.7,0.42
Csrnp1,-1.2,0.389
Mdn1,-2.9,0.389
Rps14,0.63,0.324
Gpr180,1.2,0.402
H2afz,0.73,0.371
Tjap1,-1.9,0.421
Crem,2.6,0.414
Rbm39,-0.48,0.303
Myo5a,5.8,0.303
Phf8,-2.5,0.402
Ptbp3,-1.1,0.386
AC122037.2,-5,0.301
Egr1,-0.71,0.284
Marcksl1,-1.2,0.353
Phf21a,-2.4,0.412
Ndufb7,0.86,0.353
Mafb,-0.79,0.307
Cmtm8,-1.4,0.413
Anks1,-2.3,0.424
Ddah2,-0.81,0.386
Abhd17b,-1.6,0.424
Rbm14,-1.2,0.405
Fosb,-1.7,0.399
Dnajc9,2,0.424
Foxp1,-1.3,0.405
Etohd2,-5.2,0.296
Parp3,-3.4,0.393
Txndc16,1.8,0.424
Clec4a3,-0.74,0.357
Sema4a,3.5,0.388
Hexim1,-2.6,0.415
Zfp658,-1.4,0.415
Tex261,0.81,0.372
Zdhhc13,-1.1,0.403
Pop7,1.2,0.416
RP23-114B10.6,1.7,0.424
Mrpl32,-0.89,0.388
Atp5c1,0.68,0.346
Tmem140,1.4,0.402
Borcs8,2.7,0.407
Fars2,3.2,0.388
Acap3,-4.9,0.319
Pcbp2,-1.4,0.389
Ccdc191,-1.5,0.424
RP23-188K3.6,2.8,0.413
Ajuba,-4,0.372
Kat2b,-4.9,0.346
Rbm22,-0.91,0.389
Guca1a,2.2,0.424
Pradc1,4.4,0.33
Luzp1,3.1,0.397
Lhpp,4.2,0.332
Mtss1,-1.7,0.427
Tctn1,5.2,0.276
Tbxas1,0.57,0.335
Chkb,-1.4,0.429
St8sia4,3.4,0.407
Lsm10,0.89,0.383
Txlng,-2.8,0.408
Ndufb9,0.88,0.382
Suco,-1.5,0.424
Wdr44,-1.2,0.424
Cxcl14,11,0.178
RP24-234J3.3,-2.3,0.428
Smpdl3a,1.4,0.413
Ifi209,5.5,0.3
Srrd,0.86,0.39
Cdk17,1.8,0.432
Creb5,-3.6,0.403
Creb3l2,1.4,0.425
Krt10,-4.1,0.375
Pmp22,0.63,0.322
Lsm7,1,0.397
Pqlc1,5.2,0.329
Ccdc51,-3.5,0.405
Minos1,0.66,0.349
Lancl1,1.4,0.421
Cd47,0.6,0.356
Timm10,1.5,0.433
