sample_name, sample_id
GSM4793335,DRN-18429
GSM4793336,DRN-18430
GSM4793337,DRN-18439
GSM4793338,DRN-18440
GSM4793339,DRN-18445
GSM4793340,DRN-18446
GSM4793341,DRN-18451
GSM4793342,DRN-18452
GSM4793343,DRN-18457
GSM4793344,DRN-18458
GSM4793345,DRN-18459
GSM4793346,DRN-18460
GSM4793347,DRN-18431
GSM4793348,DRN-18432
GSM4793349,DRN-18437
GSM4793350,DRN-18438
GSM4793351,DRN-18443
GSM4793352,DRN-18444
GSM4793353,DRN-18447
GSM4793354,DRN-18448
GSM4793355,DRN-18453
GSM4793356,DRN-18454
GSM4793357,DRN-18463
GSM4793358,DRN-18464
GSM4793359,DRN-18433
GSM4793360,DRN-18434
GSM4793361,DRN-18435
GSM4793362,DRN-18436
GSM4793363,DRN-18441
GSM4793364,DRN-18442
GSM4793365,DRN-18449
GSM4793366,DRN-18450
GSM4793367,DRN-18455
GSM4793368,DRN-18456
GSM4793369,DRN-18461
GSM4793370,DRN-18462
