sample_name, sample_id
GSM3933549,IL1_A
GSM3933550,IL1_M
GSM3933551,IL10_A
GSM3933552,IL10_M
GSM3933553,IL11_A
GSM3933554,IL11_M
GSM3933555,IL12_A
GSM3933556,IL12_M
GSM3933557,IL13_A
GSM3933558,IL13_M
GSM3933559,IL14_A
GSM3933560,IL14_M
GSM3933561,IL15_A
GSM3933562,IL15_M
GSM3933563,IL16_A
GSM3933564,IL16_M
GSM3933565,IL17_A
GSM3933566,IL17_M
GSM3933567,IL18_A
GSM3933568,IL18_M
GSM3933569,IL19_A
GSM3933570,IL19_M
GSM3933571,IL2_A
GSM3933572,IL2_M
GSM3933573,IL20_A
GSM3933574,IL20_M
GSM3933575,IL21_A
GSM3933576,IL21_M
GSM3933577,IL22_A
GSM3933578,IL22_M
GSM3933579,IL23_A
GSM3933580,IL23_M
GSM3933581,IL24_A
GSM3933582,IL24_M
GSM3933583,IL25_A
GSM3933584,IL25_M
GSM3933585,IL26_A
GSM3933586,IL26_M
GSM3933587,IL27_A
GSM3933588,IL27_M
GSM3933589,IL28_A
GSM3933590,IL28_M
GSM3933591,IL3_A
GSM3933592,IL3_M
GSM3933593,IL4_A
GSM3933594,IL4_M
GSM3933595,IL5_A
GSM3933596,IL5_M
GSM3933597,IL6_A
GSM3933598,IL6_M
GSM3933599,IL7_A
GSM3933600,IL7_M
GSM3933601,IL8_A
GSM3933602,IL8_M
GSM3933603,IL9_A
GSM3933604,IL9_M
