gene_name,logFC,adj.P.Val
Gnas,1.8,1.15e-10
Ctsz,1.5,1.47e-10
Ctsl,1.5,2.15e-10
Tyrobp,1.6,2.57e-8
Timp2,1.2,2.57e-8
Syngr1,1.9,2.57e-8
Ctsb,1.7,3.56e-8
Serpine2,1.5,7.21e-8
Trem2,0.95,9.68e-8
B2m,0.92,9.68e-8
Lrpap1,1.5,2.4e-7
Anxa5,2.4,2.4e-7
Ctsa,1.1,2.61e-7
Creg1,1,3.11e-7
Hexa,1.2,3.11e-7
Pld3,1.7,4.91e-7
Lgals3bp,2,7.1e-7
Ccl6,2.7,8.02e-7
Pkm,1.6,8.02e-7
H2-D1,1.5,8.02e-7
Npc2,1.3,8.02e-7
Cd9,1.1,8.33e-7
Tpi1,1.6,1.18e-6
Cd63,2,1.57e-6
Tmem160,2,1.32e-6
Gusb,1.4,1.95e-6
Hif1a,1.8,1.95e-6
Cd68,1.5,3.68e-6
Ndufa1,2.1,3.78e-6
Sdf2l1,1.3,3.82e-6
Ctsd,1.6,4.01e-6
Cadm1,1.3,6.63e-6
Rpl41,1.4,7.54e-6
Fcer1g,0.77,6.51e-6
Tmem204,-1.9,1.01e-5
Capg,3,6.67e-6
Rps14,1.2,1.34e-5
Aplp2,1.6,2.26e-5
Cox8a,1.2,3.85e-5
Grn,0.84,3.57e-5
Ank,3.6,1.34e-5
Mif,2.2,4.19e-5
Glmp,1.2,4.88e-5
Dpp7,2,4.49e-5
Cox4i1,1.1,5.33e-5
Atox1,1,9.26e-5
Il1a,-1.5,9.26e-5
Tpd52,1,1.02e-4
Rps5,1.3,1.43e-4
Ssr4,1.1,1.43e-4
Tmed3,1.3,1.72e-4
Clec7a,4.1,1.72e-4
Mt1,1.3,1.76e-4
Rpl13,0.85,1.72e-4
Psmb6,1.1,1.76e-4
Sdf4,0.98,1.76e-4
H2-K1,1.1,1.79e-4
Bsg,0.8,2.1e-4
Cox6a1,1.1,2.18e-4
Hes1,-1.7,2.82e-4
Prdx4,2.2,2.82e-4
Klf10,-1.4,3.14e-4
Wsb1,-0.82,2.82e-4
Ier5,-0.89,2.81e-4
Zfp36l2,-1.4,3.45e-4
Zfand5,-0.92,3.14e-4
Cd52,2,3.81e-4
Cox6c,1.5,3.81e-4
Klf3,-1.1,3.86e-4
Tlr2,1.1,4.12e-4
Ldha,0.96,4.12e-4
Txnip,-0.87,3.78e-4
Fau,0.93,4.32e-4
Gng12,1.4,4.45e-4
Ifrd1,-1.3,4.45e-4
Ctss,0.51,2.82e-4
Nenf,2.5,3.81e-4
Icam1,-0.88,4.45e-4
Apoe,3.7,4.45e-4
Lamp1,0.7,4.45e-4
Adssl1,3.2,3.81e-4
Hspa8,-0.83,4.63e-4
Uqcr10,1,6.12e-4
Ppp1r15a,-1.2,5.53e-4
Tnfaip3,-1.1,5.68e-4
Atpif1,1,5.96e-4
Dtnbp1,1.1,6.33e-4
Dad1,0.92,5.91e-4
Aldoa,1.2,6.33e-4
Sh3bgrl3,0.79,6.57e-4
Bag1,1,8.11e-4
Cops9,1.3,8.79e-4
Soat1,1.5,9.07e-4
Fth1,1,6.42e-4
H2afj,1.5,9.08e-4
Shisa5,0.95,8.37e-4
Mrps21,1.7,9.08e-4
Atp6v1c1,0.89,8.58e-4
Ivns1abp,-0.7,7.5e-4
Mapk14,-1.1,9.45e-4
S100a1,2.5,8.67e-4
Cpq,2.3,9.08e-4
Mcl1,-1.1,9.2e-4
Gimap6,-1.6,0.00111
Rpl18a,0.81,9.07e-4
Cyba,0.84,9.2e-4
Psat1,3.4,6.33e-4
Gapdh,1.1,0.00119
Csf2ra,1.6,0.00126
Tsc22d1,2.2,0.00113
Zbtb7a,-1.4,0.00156
Ndufb7,1.2,0.00165
Ndufv3,1.2,0.00172
Fam173a,1.2,0.00183
Rpl37a,1.1,0.00196
Hsp90aa1,-1.1,0.00191
Hnrnpl,-1.3,0.002
Hspb1,-6.6,2.78e-5
Dnajb1,-1.4,0.00196
Ccnl1,-0.91,0.00179
Gm2a,1.2,0.00196
Crlf3,-0.87,0.00196
Marcksl1,-1.5,0.00211
Socs3,-1.1,0.00209
Akr1a1,0.72,0.00197
Klf6,-1,0.00197
Plaur,1.6,0.00276
Slco4a1,-1.5,0.00286
Uqcrh,1,0.00298
Rplp1,1,0.00279
Yif1b,1.3,0.00323
Csrnp1,-1.4,0.00346
Ophn1,-0.83,0.00315
Atp1b3,0.8,0.00296
Hcst,2,0.0034
Cd63-ps,2.1,0.00292
Fkbp2,0.92,0.00319
Arid5a,-1.4,0.00385
Romo1,1.3,0.00395
Lpl,4.9,0.00409
Prdx6,1.6,0.00425
Tnfrsf1b,-1.1,0.00406
Ankrd10,-1.2,0.00431
Slc39a11,-1.5,0.00454
Myc,-1.1,0.00439
Dapp1,-0.8,0.00416
Eno1,1,0.00423
Gltp,0.8,0.00412
Rpl37,0.97,0.0043
Psmb8,0.76,0.00395
Cotl1,1.2,0.00463
Sil1,1.6,0.00504
Ndufc1,1.3,0.00504
Atp5k,1.3,0.0051
Nsun6,-1.2,0.0051
Ubl5,1.2,0.00512
Engase,-1.8,0.00519
Dock4,-1.2,0.00512
Rps18,0.88,0.0051
Ggh,1.2,0.00519
Rpl14,0.96,0.0051
Rpl35,0.98,0.00514
Sesn1,-0.88,0.0051
Atp5j2,0.98,0.0051
Cst7,8.4,0.00435
Stat1,1.9,0.00549
Slco2b1,-0.96,0.0047
Zfp36,-0.58,0.00359
Patz1,-2.3,0.00509
Rps20,1.2,0.00564
Slc25a39,1.2,0.00566
Minos1,0.83,0.00523
