"component_name","ionization","assigned_internal_standard","panel","sample_id","abundance","description","cell_number","genotype","condition","sex","batch","group"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","1",-4.34,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Male","Day_1","WT, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","2",-4.06,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Female","Day_1","APP-SAA, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","3",-3.978,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_1","WT, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","4",-2.982,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Female","Day_1","APP-SAA, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","5",-3.249,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","6",-3.036,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_2","WT, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","7",-3.003,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","8",-2.832,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Male","Day_2","WT, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","9",-3.094,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","10",-3.226,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","11",-2.913,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Male","Day_2","WT, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","12",-3.432,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_2","WT, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","13",-3.123,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","14",-2.962,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","15",-3.218,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","16",-2.83,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","17",-2.704,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","18",-2.882,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","19",-3.229,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","20",-2.974,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","21",-3.079,"HOM, Methoxy POS",50000,"APP_SAA_Hom","Methoxy_Pos","Female","Day_1","APP-SAA, Methoxy+"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","22",-3.101,"HOM, Methoxy POS",34378,"APP_SAA_Hom","Methoxy_Pos","Female","Day_1","APP-SAA, Methoxy+"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","23",-2.909,"HOM, Methoxy POS",47311,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","24",-2.628,"HOM, Methoxy POS",50000,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","25",-3.075,"HOM, Methoxy POS",34185,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","26",-3.181,"HOM, Methoxy POS",30040,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","27",-2.96,"HOM, Methoxy POS",40165,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","28",-3.349,"HOM, Methoxy POS",19022,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","29",-2.826,"HOM, Methoxy POS",30024,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(16:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","30",-3.318,"HOM, Methoxy POS",30000,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","1",-2.169,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Male","Day_1","WT, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","2",-1.857,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Female","Day_1","APP-SAA, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","3",-2.018,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_1","WT, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","4",-1.498,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Female","Day_1","APP-SAA, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","5",-1.453,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","6",-1.592,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_2","WT, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","7",-1.344,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","8",-1.437,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Male","Day_2","WT, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","9",-1.441,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","10",-1.484,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","11",-1.447,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Male","Day_2","WT, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","12",-1.617,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_2","WT, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","13",-1.592,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","14",-1.364,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
