run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
SRR7641541	SAMN09755518	SRX4505106	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/001/SRR7641541/SRR7641541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/001/SRR7641541/SRR7641541_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/001/SRR7641541	TLA-4807	3XTg-AD	
SRR7641543	SAMN09755519	SRX4505104	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/003/SRR7641543/SRR7641543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/003/SRR7641543/SRR7641543_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/003/SRR7641543	TLA-4919	CAG-FCGRT	
SRR7641544	SAMN09755518	SRX4505103	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/004/SRR7641544/SRR7641544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/004/SRR7641544/SRR7641544_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/004/SRR7641544	TLA-4807	3XTg-AD	
SRR7641546	SAMN09755520	SRX4505101	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/006/SRR7641546/SRR7641546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/006/SRR7641546/SRR7641546_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/006/SRR7641546	TLA-5491	MAPT	
SRR7641548	SAMN09755529	SRX4505099	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/008/SRR7641548/SRR7641548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/008/SRR7641548/SRR7641548_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/008/SRR7641548	TLA-8538	Cspg4-cre/Esr1	
SRR7641549	SAMN09755529	SRX4505098	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/009/SRR7641549/SRR7641549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/009/SRR7641549/SRR7641549_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/009/SRR7641549	TLA-8538	Cspg4-cre/Esr1	
SRR7641553	SAMN09755530	SRX4505094	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/003/SRR7641553/SRR7641553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/003/SRR7641553/SRR7641553_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/003/SRR7641553	TLA-8586	FXN*500GAA	
SRR7641557	SAMN09755545	SRX4505090	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/007/SRR7641557/SRR7641557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/007/SRR7641557/SRR7641557_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/007/SRR7641557	TLA-18785	LRRK2*G2019S	
SRR7641558	SAMN09755545	SRX4505089	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/008/SRR7641558/SRR7641558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/008/SRR7641558/SRR7641558_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/008/SRR7641558	TLA-18785	LRRK2*G2019S	
SRR7641561	SAMN09755511	SRX4505086	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/001/SRR7641561/SRR7641561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/001/SRR7641561/SRR7641561_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/001/SRR7641561	TLA-3802	Lck-cre	
SRR7641563	SAMN09755509	SRX4505084	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/003/SRR7641563/SRR7641563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/003/SRR7641563/SRR7641563_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/003/SRR7641563	TLA-3574	Alb-cre	
SRR7641566	SAMN09755512	SRX4505081	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/006/SRR7641566/SRR7641566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/006/SRR7641566/SRR7641566_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/006/SRR7641566	TLA-4128	Tek-Cre	
SRR7641570	SAMN09755540	SRX4505077	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/000/SRR7641570/SRR7641570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/000/SRR7641570/SRR7641570_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/000/SRR7641570	TLA-14565	hFCGRT	
SRR7641574	SAMN09755527	SRX4505073	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/004/SRR7641574/SRR7641574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/004/SRR7641574/SRR7641574_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/004/SRR7641574	TLA-8169	Prnp-MAPT*P301S	
SRR7641578	SAMN09755525	SRX4505069	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/008/SRR7641578/SRR7641578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/008/SRR7641578/SRR7641578_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/008/SRR7641578	TLA-7004	Camk2a-tTA	
SRR7641579	SAMN09755520	SRX4505068	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/009/SRR7641579/SRR7641579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/009/SRR7641579/SRR7641579_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/009/SRR7641579	TLA-5491	MAPT	
SRR7641582	SAMN09755522	SRX4505065	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/002/SRR7641582/SRR7641582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/002/SRR7641582/SRR7641582_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/002/SRR7641582	TLA-6293	PDGFB-APPSwInd	
SRR7641585	SAMN09755537	SRX4505062	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/005/SRR7641585/SRR7641585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/005/SRR7641585/SRR7641585_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/005/SRR7641585	TLA-12467	Lrrk2*G2019S	
SRR7641586	SAMN09755537	SRX4505061	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/006/SRR7641586/SRR7641586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/006/SRR7641586/SRR7641586_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/006/SRR7641586	TLA-12467	Lrrk2*G2019S	
SRR7641587	SAMN09755536	SRX4505060	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/007/SRR7641587/SRR7641587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/007/SRR7641587/SRR7641587_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/007/SRR7641587	TLA-9617	NSG-HLA-A2.1	
SRR7641591	SAMN09755545	SRX4505056	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/001/SRR7641591/SRR7641591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/001/SRR7641591/SRR7641591_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/001/SRR7641591	TLA-18785	LRRK2*G2019S	
SRR7641593	SAMN09755545	SRX4505054	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/003/SRR7641593/SRR7641593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/003/SRR7641593/SRR7641593_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/003/SRR7641593	TLA-18785	LRRK2*G2019S	
SRR7641604	SAMN09755540	SRX4505043	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/004/SRR7641604/SRR7641604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/004/SRR7641604/SRR7641604_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/004/SRR7641604	TLA-14565	hFCGRT	
